,name,address,no_available,dock_bikes,lat_destino,long_destino,Posicion_destino
220,Camino Vinateros,Calle Camino de los Vinateros nº 28,0,3,40.41053,-3.65779,POINT (4498479.622286306 -407460.1888912669)
221,Marroquina,Calle Camino de los Vinateros nº 108,0,10,40.408264,-3.646697,POINT (4498227.372320169 -406222.8087328799)
222,Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6,0,12,40.40617,-3.65122,POINT (4497994.269306446 -406727.329599779)
223,Pavones,Calle Hacienda de Pavones nº 342,0,8,40.400368,-3.634587,POINT (4497348.393620864 -404872.003688147)
224,Antonio López,Calle Eugenio Caxes frente al nº 12,0,9,40.3917871,-3.7026789,POINT (4496393.172202316 -412467.5245335224)
225,Ermita Santo,Paseo de la Ermita del Santo nº 48,0,13,40.406837862773465,-3.7244893989507686,POINT (4498068.615450309 -414900.5668678451)
226,Caramuel,Calle Caramuel nº 51,0,14,40.40913630273305,-3.728533714316331,POINT (4498324.476616229 -415351.7319152079)
227,Doctor Lozano,Calle Sierra Toledana nº 33,0,9,40.40248333540473,-3.660188083470652,POINT (4497583.871680976 -407727.6876039788)
228,Sierra Toledana,Camino de Valderribas nº 94,0,10,40.39901531507069,-3.6607768678037744,POINT (4497197.81342333 -407793.364764792)
229,San Delfín,Calle San Delfín nº 9,0,17,40.39440607959559,-3.7080429728445563,POINT (4496684.715677296 -413065.9012525062)
230,Concordia,Calle Arroyo del Olivar nº 6,0,6,40.39382977920336,-3.6659362429356372,POINT (4496620.562211088 -408368.8797354235)
231,C.D. Concepción,Calle Jose del Hierro nº 5,0,3,40.43715089959262,-3.64835857929032,POINT (4501443.047273415 -406408.1503400223)
232,Carlota O’Neill,Calle Carlota O'Neill nº 32,0,1,40.44370542379883,-3.648958444298144,POINT (4502172.693570442 -406475.0626355441)
233,Derechos Humanos,Calle Derechos Humanos nº 12,0,9,40.43965673033275,-3.6557656204708775,POINT (4501721.99507542 -407234.376241853)
234,José María Pereda,Calle José María de Pereda nº 1,0,11,40.43272086245887,-3.6485306152875148,POINT (4500949.897795491 -406427.3401920618)
235,Marqués de Corbera 12,Avenida Marqués de Corbera nº 12,0,8,40.422962108947424,-3.6555552857442697,POINT (4499863.558323819 -407210.9141479103)
236,Marqués de Corbera 52,Avenida Marqués de Corbera nº 52,0,14,40.426207143200884,-3.651034981803642,POINT (4500224.793884521 -406706.6915793895)
237,Embajadores 191,Calle Sodio nº 1B,0,6,40.389258643579105,-3.6903589643353483,POINT (4496111.70572105 -411093.2163689993)
238,Paseo Imperial,Paseo Imperial nº 20,0,10,40.40765396169372,-3.7172213778842007,POINT (4498159.463166549 -414089.7853865778)
239,Pablo Iglesias,Calle Francisco Balseiro nº 1,0,3,40.451333,-3.710525,POINT (4503021.791469144 -413342.7792699079)
240,San Germán 5,Calle San Germán nº 5,0,12,40.45619382579544,-3.6929376751795306,POINT (4503562.896121526 -411380.8740326743)
241,Francos Rodríguez,Calle Francos Rodríguez nº 62,0,2,40.45673408797698,-3.708002730875242,POINT (4503623.037832471 -413061.4121393402)
242,Avenida Brasilia,Avenida de Brasilia frente al nº 9,0,13,40.43666,-3.66096,POINT (4501388.400580734 -407813.792631515)
243,Camilo José Cela,Avenida de Camilo José Cela nº 23,0,4,40.4378,-3.66779,POINT (4501515.304800238 -408575.6623587617)
244,Avenida Bruselas,Avenida Bruselas nº 56,0,5,40.43865,-3.66301,POINT (4501609.926367412 -408042.4644864241)
245,Cartagena,Calle Cartagena nº 34,0,7,40.43503,-3.67012,POINT (4501206.94981074 -408835.569468114)
246,Hospital Clínico,Calle Isaac Peral nº 44,0,6,40.44003,-3.71757,POINT (4501763.547264707 -414128.6756488975)
247,Galileo,Calle Galileo nº 63,0,6,40.4364,-3.71019,POINT (4501359.457513127 -413305.4089098364)
248,Santa Engracia 87,Calle Santa Engracia nº 87,0,13,40.43604,-3.69928,POINT (4501319.382496442 -412088.3699950963)
249,Torre Cepsa,Calle Sinesio Delgado nº 2,0,14,40.47435,-3.68797,POINT (4505584.032188732 -410826.7258551974)
250,Manuel Caldeiro,Paseo de la Castellana nº 298,0,16,40.47938,-3.68532,POINT (4506143.969227422 -410531.1174823334)
251,Serrano 113,Calle Serrano nº 113B,0,16,40.44106,-3.68609,POINT (4501878.206340224 -410617.0111451639)
252,Corazón de María,Calle Santa Hortensia nº 31,0,6,40.44421,-3.66683,POINT (4502228.862736222 -408468.5763648925)
253,Chamartín,Calle Rodríguez Jaén nº 40,0,7,40.4716,-3.68391,POINT (4505277.903589051 -410373.8318768776)
254,Doctor Fleming,Calle Doctor Fleming nº 7,0,11,40.45546,-3.68844,POINT (4503481.207007647 -410879.1546019998)
255,Pío XII,Avenida Pío XII nº 3,0,11,40.46041,-3.67712,POINT (4504032.238487074 -409616.4103570179)
256,López Pozas,Calle General López Pozas nº 2,0,7,40.46361,-3.68514,POINT (4504388.460857612 -410511.0384549898)
257,Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2,0,1,40.44635,-3.71383,POINT (4502467.086446521 -413711.4637311997)
258,INEF,Avenida Juan de Herrera frente a la calle Paul Guinard,0,14,40.43896,-3.72997,POINT (4501644.435409558 -415511.9577777162)
259,Ciudad Universitaria 1,Avenida de la Complutense (Metro Ciudad Universitaria),0,0,40.44375,-3.72699,POINT (4502177.655770458 -415179.5220676512)
260,Ciudad Universitaria 2,Avenida de la Complutense (Metro Ciudad Universitaria),0,12,40.44342,-3.72693,POINT (4502140.920338497 -415172.8287427764)
261,Facultad Biología,Calle José Antonio Novais frente al nº 12,0,9,40.4483322,-3.7272945,POINT (4502687.743941171 -415213.4906984274)
262,Facultad Derecho,Avenida Complutense nº 23,0,5,40.45109,-3.72937,POINT (4502994.74083288 -415445.0243226733)
263,Zurbano,Calle Zurbano nº 90,0,6,40.43837,-3.69281,POINT (4501578.756909991 -411366.6317244973)
